La Graciosa, 29.26, -13.50
Lanzarote, 28.96, -13.54
Fuerteventura, 28.50, -13.86
Gran Canaria, 28.12, -15.43
Tenerife, 28.46, -16.25
La Gomera, 28.09, -17.11
La Palma, 28.67, -17.76
El Hierro, 27.80, -17.88
